institucion,email_colector,kit,estacion,nombre,lat,long,fecha,color,I-Hol,% O2,DBO,NH4,pts PSO,pts DBO,pts NH4,I_Hol2,col2,CF,DQO,EC,PO4,GYA,pH,SD,Ssed,SST,ST,SAAM,T,Aforo
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 1,MONTERAN,"9,92505600","-84,00426300",10/12/2015 00:00,Anaranjado,11,"28,7",4,"0,41",5,2,1,8,AMARILLO,50000,45,17000,"0,27",5,"6,88",ND,"0,5",15,ND,"0,1","26,3",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 2,Q-Pio,"9,91627200","-84,01637300",10/12/2015 00:00,Verde,5,"54,7",2,"0,1",3,1,1,5,VERDE,30000,40,24000,"0,55","10,8","7,03",ND,"0,5",15,ND,"0,04","26,7",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 3,Parq Pinares,"9,91556700","-84,02009500",10/12/2015 00:00,Verde,5,"55,5",2,"0,13",3,1,1,5,VERDE,13000,43,13000,"0,25",5,7,ND,"0,05",15,ND,"0,05","26,5",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 4,Tacaco,"9,91719200","-84,02202200",10/12/2015 00:00,Verde,5,"56,4",3,"0,05",3,1,1,5,VERDE,50000,44,24000,"0,36",5,"6,68",ND,"0,5",15,ND,"0,1","26,1",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 5,Hortifruti,"9,91589900","-84,02772700",10/12/2015 00:00,Verde,5,"50,1",2,"0,07",3,1,1,5,VERDE,24000,38,8000,"0,23",5,7,ND,"0,5",15,ND,"0,1",26,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 6,Montesacro,"9,92142200","-84,03678100",10/12/2015 00:00,Verde,5,"51,4",3,"0,2",3,1,1,5,VERDE,160000,14,90000,"0,28","6,5","7,23",ND,"0,5",15,ND,"0,1","26,6",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 7,Mallorca,"9,91733600","-84,03414900",10/12/2015 00:00,Verde,5,"48,8",3,"0,17",4,1,1,6,VERDE,22000,41,14000,"0,34",5,"6,6",ND,"0,5",15,ND,"0,07","26,5",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 8,Lito Monge,"9,91588000","-84,03990700",10/12/2015 00:00,Verde,5,"55,7",2,"0,03",3,1,1,5,VERDE,160000,40,160000,"0,31","2,5","7,05",ND,"0,5",15,ND,"0,05","26,7",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 9,Cascada Azul,"9,91381900","-84,05255300",10/12/2015 00:00,Anaranjado,11,"16,2",13,"0,81",5,4,2,11,ROJO,160000,61,160000,"1,42","3,8","6,51",ND,"0,5",8,ND,"0,69","26,3",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 10,Ranchito,"9,91386700","-84,05662000",10/12/2015 00:00,Verde,5,"58,6",2,"0,14",3,1,1,5,VERDE,160000,40,160000,"0,52",5,"7,23",ND,"0,5",15,ND,"0,1","26,6",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 1,MONTERAN,"9,92505600","-84,00426300",27/11/2015 00:00,Amarillo,8,"33,5",4,"0,17",4,2,1,7,AMARILLO,16000,14,16000,"0,27",5,"6,2",ND,"0,5",15,ND,"0,1","23,9",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 2,Q-Pio,"9,91627200","-84,01637300",27/11/2015 00:00,Verde,5,"55,8",2,"0,04",3,1,1,5,VERDE,5000,14,3000,"0,27",5,"6,41",ND,"0,5",15,ND,"0,1","24,1",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 3,Parq Pinares,"9,91556700","-84,02009500",27/11/2015 00:00,Verde,5,51,2,"0,07",3,1,1,5,VERDE,16000,14,16000,"0,24",5,"6,61",ND,"0,5",15,ND,"0,1","24,2",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 4,Tacaco,"9,91719200","-84,02202200",27/11/2015 00:00,Verde,5,"57,1",2,"0,06",3,1,1,5,VERDE,5000,14,3000,"0,24",5,"6,5",ND,"0,5",15,ND,"0,1","23,9",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 5,Hortifruti,"9,91589900","-84,02772700",27/11/2015 00:00,Verde,6,"55,8",2,"0,06",3,1,1,5,VERDE,16000,14,16000,"0,22",5,"6,6",ND,"0,5",15,ND,"0,1","24,1",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 6,Montesacro,"9,92142200","-84,03678100",27/11/2015 00:00,Verde,5,"52,9",2,"0,07",3,1,1,5,VERDE,16000,14,16000,"0,28",5,"6,46",ND,"0,5",15,ND,"0,1","24,1",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 7,Mallorca,"9,91733600","-84,03414900",27/11/2015 00:00,Verde,5,"51,9",2,"0,03",3,1,1,5,VERDE,16000,14,16000,"0,28",5,"6,55",ND,"0,5",15,ND,"0,1","0,5",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 8,Lito Monge,"9,91588000","-84,03990700",27/11/2015 00:00,Verde,5,"58,6",2,"0,06",3,1,1,5,VERDE,16000,15,16000,"0,23","6,58","6,58",ND,"0,5",15,ND,"0,1","23,2",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 9,Cascada Azul,"9,91381900","-84,05255300",27/11/2015 00:00,Amarillo,8,"21,7",5,"0,36",5,2,1,8,AMARILLO,16000,20,16000,"0,91",5,"6,51",ND,"0,5",15,ND,"0,11","24,2",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 10,Ranchito,"9,91386700","-84,05662000",27/11/2015 00:00,Verde,5,"62,1",2,"0,03",3,1,1,5,VERDE,16000,14,16000,"0,18",5,"6,47",ND,"0,5",15,ND,"0,1",24,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 1,MONTERAN,"9,92505600","-84,00426300",22/10/2015 00:00,Rojo,14,"22,8",17,"3,86",5,5,4,14,ROJO,16000,26,9000,"0,32","11,5","6,54",ND,5,57,ND,"0,55","25,5",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 2,Q-Pio,"9,91627200","-84,01637300",22/10/2015 00:00,Verde,6,"48,6",2,"0,24",4,1,1,6,VERDE,16000,2,1400,"0,35","7,2","7,07",ND,"0,5",15,ND,"0,39","25,6",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 3,Parq Pinares,"9,91556700","-84,02009500",22/10/2015 00:00,Amarillo,9,"21,5",5,"0,79",5,2,2,9,AMARILLO,2800,5,340,"0,2","9,6","7,28",ND,"0,5",15,ND,"0,1","25,8",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 4,Tacaco,"9,91719200","-84,02202200",22/10/2015 00:00,Verde,5,"52,4",2,"0,37",3,1,1,5,VERDE,5000,8,340,"0,46","7,2","6,93",ND,"0,5",15,ND,"0,1","25,5",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 5,Hortifruti,"9,91589900","-84,02772700",22/10/2015 00:00,Amarillo,9,"30,1",4,"0,53",4,2,2,8,AMARILLO,16000,8,340,"0,23","7,2","7,08",ND,"0,5",15,ND,"0,1","26,1",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 6,Montesacro,"9,92142200","-84,03678100",22/10/2015 00:00,Amarillo,7,"46,6",2,"0,54",4,1,2,7,AMARILLO,16000,2,16000,"0,39","7,7","7,09",ND,"0,5",10,ND,"0,1","26,3",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 7,Mallorca,"9,91733600","-84,03414900",22/10/2015 00:00,Amarillo,7,"42,5",3,"0,67",4,1,2,7,AMARILLO,16000,8,16000,"0,4","10,4","6,89",ND,"0,5",15,ND,"0,1","25,8",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 8,Lito Monge,"9,91588000","-84,03990700",22/10/2015 00:00,Verde,5,"55,2",2,"0,27",3,1,1,5,VERDE,16000,7,16000,"0,35","6,8","7,2",ND,15,15,ND,"0,1","0,35",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 9,Cascada Azul,"9,91381900","-84,05255300",22/10/2015 00:00,Rojo,13,"14,5",10,"3,94",5,4,4,13,ROJO,260,20,120,"0,87","7,5","6,81",ND,"0,5",21,ND,"1,24","26,4",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 10,Ranchito,"9,91386700","-84,05662000",22/10/2015 00:00,Verde,5,"58,4",2,"0,35",3,1,1,5,VERDE,16000,2,16000,"0,33",6,"7,22",ND,"0,5",15,ND,"0,1","26,2",ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 1,MONTERAN,"9,92505600","-84,00426300",1/05/2015 00:00,Rojo,14,"16,1",47,"5,2",5,5,5,15,ROJO,2100,84,1200,ND,11,"6,67",207,"1,8",63,270,2,ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 2,Q-Pio,"9,91627200","-84,01637300",1/05/2015 00:00,Amarillo,8,"21,3",4,"0,07",5,2,1,8,AMARILLO,1,10,1,ND,2,"6,8",176,"0,2",60,236,"0,19",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 3,Parq Pinares,"9,91556700","-84,02009500",1/05/2015 00:00,Anaranjado,11,"12,5",12,"0,54",5,4,2,11,ROJO,1,21,1,ND,2,"6,75",168,"0,2",64,232,"0,28",ND,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr ,otro,Estación 4,Tacaco,"9,91719200","-84,02202200",1/05/2015 00:00,Amarillo,8,"28,9",6,"0,13",5,2,1,8,AMARILLO,1,30,1,ND,2,"6,77",206,"0,2",22,228,"0,22",ND,ND
